title,type,grade,subject,content_link,chapter_slug
Acid rain,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/ap-college-environmental-science/x0b0e430a38ebd23f:atmospheric-pollution/x0b0e430a38ebd23f:other-atmospheric-pollution/v/acid-rain,15-Chemical reaction
Greenhouse effect and greenhouse gases,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/ap-college-environmental-science/x0b0e430a38ebd23f:global-change/x0b0e430a38ebd23f:greenhouse-effect/v/greenhouse-effect-and-greenhouse-gases,15-Chemical reaction
Green house,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/351,15-Chemical reaction
Introduction to vitamins and minerals,Video,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/high-school-biology/hs-biology-foundations/hs-biological-macromolecules/v/introduction-to-vitamins-and-minerals,17-Metals and non-metals
Iron and aluminium,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2481,17-Metals and non-metals
Hydrocarbon overview,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/2482,18-Carbon and its compounds
Introduction to hydrocarbon,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/biology/properties-of-carbon/hydrocarbon-structures-and-functional-groups/v/hydrocarbon-overview,18-Carbon and its compounds
Carbon and hydrocarbons,Video,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/ap-biology/chemistry-of-life/elements-of-life/a/carbon-and-hydrocarbons,18-Carbon and its compounds
Hydrocarbons,Document,10,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/25.2/primary/lesson/hydrocarbons-ms-ps/,18-Carbon and its compounds
Some useful chemicals,Video,6,Science and Technology [[विज्ञान तथा प्रविधि]],https://dlc.dwit.edu.np/chapter/show/1169,10-materials-used-in-daily-life
Acid,Document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/21.1/primary/lesson/properties-of-acids-chem/,10-materials-used-in-daily-life
Base,Document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/21.2/primary/lesson/properties-of-bases-chem/,10-materials-used-in-daily-life
Indicators,Document,7,Science and Technology [[विज्ञान तथा प्रविधि]],https://flexbooks.ck12.org/cbook/ck-12-chemistry-flexbook-2.0/section/21.20/primary/lesson/indicators-chem/,10-materials-used-in-daily-life
Acid rain,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://www.khanacademy.org/science/ap-college-environmental-science/x0b0e430a38ebd23f:atmospheric-pollution/x0b0e430a38ebd23f:other-atmospheric-pollution/v/acid-rain,10-materials-used-in-daily-life
"कम्पोष्ट मल प्रयोग गरौँ, उत्पादन बढाऔँ",Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/df7d1033-65ee-49f8-a8a3-ba8bce1cc1f7/,19-Materials used in Agriculture
प्राङ्गारिक मल प्रवर्द्धन तथा माटोको उर्वराशक्ति व्यवस्थापन,Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/b95175cb-89e3-4de3-a56f-a7051c301280/,19-Materials used in Agriculture
प्राङ्गारिक कृषि,Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/cc512987-b2dd-40a5-8061-4d7e2e5323a8/,19-Materials used in Agriculture
सूक्ष्म जीवमा आधारित जैविक विषादी ,Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/6494fad7-930a-4908-8707-21c9ae9b46f1/,19-Materials used in Agriculture
Pesticides are Poison,Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/0538f881-cf63-4f08-8c45-9e5f80c389bf/,19-Materials used in Agriculture
घरेलु बिषादी बनाउने तरिका,Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/09c6c5fe-3cbc-4bb0-b14d-acfc2f4d1481/,19-Materials used in Agriculture
A Handbook of Soil Science,Document,9,Science and Technology [[विज्ञान तथा प्रविधि]],https://pustakalaya.org/documents/detail/0fb487fc-b78e-4a19-a254-4f7ed31e47e7/,19-Materials used in Agriculture
History of life,Video,8,Science and Technology [[विज्ञान तथा प्रविधि]],https://youtu.be/8SgnnV8nV9g,11-Earth and Universe
Senses,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.17/primary/lesson/senses-bio/,1-human-body
Skeletal System,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.3/primary/lesson/human-skeletal-system-bio/,1-human-body
Muscles,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.8/primary/lesson/smooth-skeletal-and-cardiac-muscles-bio/,1-human-body
Skeletal Muscles,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.9/primary/lesson/skeletal-muscles-bio/,1-human-body
Air Pollution and Illness,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.56/primary/lesson/air-pollution-and-illness-bio/,2-community-health-and-mental-health
पोषण शिक्षा,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/892a231f-35cd-486c-8a6f-22fdb559a1fc/,3-nutrition-and-food-security
महिला स्वास्थ्य,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/14c982d4-ee14-4a91-a365-5c81d4723783/,5-sexual-and-reproductive-health
किशोरावस्था (किशोर-किशोरीहरूका प्रजनन स्वास्थ्य सम्बन्धी जिज्ञासा पुस्तिका),Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/04985260-53d8-46e4-8d00-de2efca78722/,5-sexual-and-reproductive-health
महिनावारी (किशोर-किशोरीहरूका प्रजनन स्वास्थ्य सम्बन्धी जिज्ञासा पुस्तिका),Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/bc05e8a2-3f46-403f-ab08-59db7f23d73a/,5-sexual-and-reproductive-health
What to draw and how to draw it,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/e5b3084d-63ed-4c7b-b6f9-57a08cd56996/,10-introduction-to-arts-line-and-colour
Drawing Made Easy: A Helpful Book For Young Artists,Document,6,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://pustakalaya.org/documents/detail/ffe11f14-ed9e-4968-bc25-5a84b81b1c64/,10-introduction-to-arts-line-and-colour
Digestive System,Document,7,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.35/primary/lesson/digestion-bio/,1-human-body
Respiratory System,Document,7,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.29/primary/lesson/respiration-bio/,1-human-body
Circulatory System,Document,7,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.26/primary/lesson/circulatory-system-bio/,1-human-body
 Urinary System,Document,7,"Health, Physical and Creative Arts [[स्वास्थ्य, शारीरिक तथा सिर्जनात्मक कला]]",https://flexbooks.ck12.org/cbook/ck-12-biology-flexbook-2.0/section/13.42/primary/lesson/urinary-system-bio/,1-human-body
